Year,avg_g_per_wafer
1995,50.0
1996,50.0
1997,50.0
1998,50.0
1999,50.0
2000,50.0
2001,50.0
2002,50.0
2003,50.0
2004,51.99254639501893
2005,46.271395716014176
2006,39.672278828652715
2007,40.553624167186854
2008,41.528572375421945
2009,45.125864213894765
2010,49.33536238558961
2011,49.66181831407664
2012,48.637112406774975
2013,49.920500958799146
2014,50.13317643126102
2015,50.54035646113738
2016,53.41700039845345
2017,59.32333715050384
2018,63.60055266556489
2019,65.06394011157376
2020,66.72675975681467
2021,66.18084495522943
2022,65.58767292229402
2023,66.98371615984686
2024,68.78493968366804
2025,69.37974020877743
2026,69.84836064888424
2027,70.19056461585215
2028,70.65569711121663
2029,71.12557437704847
2030,71.60023678252902
