year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ,e_mat_Recycled_HQ_fuelfraction
year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%
1995,0.0062,706.78,19,1.6,625.19,0.09,0,0.4,1.6,625.19,16
1996,0.0062,648.05,20,1.6,568.57,0.09,0,0.4,1.6,568.57,17
1997,0.0062,609.66,20,1.6,532.3,0.09,0,0.4,1.6,532.3,17
1998,0.0062,568.3,21,1.6,493.06,0.09,0,0.4,1.6,493.06,18
1999,0.0062,529.94,22,1.6,456.81,0.09,0,0.4,1.6,456.81,19
2000,0.0062,403.44,24,1.6,332.43,0.09,0,0.4,1.6,332.43,21
2001,0.0062,367.39,25,1.6,298.5,0.09,0,0.4,1.6,298.5,21
2002,0.0062,308.39,27,1.6,241.61,0.09,0,0.4,1.6,241.61,23
2003,0.0062,251.9,31,1.6,187.24,0.09,0,0.4,1.6,187.24,27
2004,0.0062,232.84,31,1.6,170.3,0.09,0,0.4,1.6,170.3,28
2005,0.0062,238.56,29,1.6,176.72,0.09,0,0.4,1.6,176.72,25
2006,0.0062,224.73,29,1.6,164.52,0.09,0,0.4,1.6,164.52,26
2007,0.0062,222.52,29,1.6,164.09,0.09,0,0.4,1.6,164.09,25
2008,0.0062,221.09,28,1.6,164.38,0.09,0,0.4,1.6,164.38,24
2009,0.0062,214.76,27,1.6,159.78,0.09,0,0.4,1.6,159.78,23
2010,0.0062,206.96,27,1.6,153.8,0.09,0,0.4,1.6,153.8,24
2011,0.0062,193.65,28,1.6,142.31,0.09,0,0.4,1.6,142.31,25
2012,0.0062,188.83,28,1.6,139.29,0.09,0,0.4,1.6,139.29,24
2013,0.0062,180.34,28,1.6,132.59,0.09,0,0.4,1.6,132.59,25
2014,0.0062,175.71,28,1.6,129.7,0.09,0,0.4,1.6,129.7,24
2015,0.0062,173.87,27,1.6,129.69,0.09,0,0.4,1.6,129.69,24
2016,0.0062,167.14,27,1.6,124.76,0.09,0,0.4,1.6,124.76,24
2017,0.0062,161.53,27,1.6,122.08,0.09,0,0.4,1.6,122.08,24
2018,0.0062,161.39,25,1.6,124.75,0.09,0,0.4,1.6,124.75,23
2019,0.0062,160.54,24,1.6,126.88,0.09,0,0.4,1.6,126.88,22
2020,0.0062,169.06,22,1.6,138.38,0.09,0,0.4,1.6,138.38,20
2021,0.0062,170.73,21,1.6,143.04,0.09,0,0.4,1.6,143.04,19
2022,0.0062,169.05,20,1.6,144.33,0.09,0,0.4,1.6,144.33,19
2023,0.0062,168.8,20,1.6,144.2,0.09,0,0.4,1.6,144.2,19
2024,0.0062,169.09,20,1.6,144.6,0.09,0,0.4,1.6,144.6,19
2025,0.0062,169.38,20,1.6,145.01,0.09,0,0.4,1.6,145.01,19
2026,0.0062,169.45,20,1.6,145.19,0.09,0,0.4,1.6,145.19,19
2027,0.0062,169.51,20,1.6,145.37,0.09,0,0.4,1.6,145.37,19
2028,0.0062,169.58,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2029,0.0062,169.47,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2030,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2031,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2032,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2033,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2034,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2035,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2036,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2037,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2038,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2039,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2040,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2041,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2042,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2043,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2044,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2045,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2046,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2047,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2048,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2049,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
2050,0.0062,169.35,20,1.6,145.55,0.09,0,0.4,1.6,145.55,19
