year,e_mat_extraction,e_mat_MFG,e_mat_MFG_fuelfraction,e_mat_MFGScrap_LQ,e_mat_MFGScrap_HQ,e_mat_Landfill,e_mat_Landfill_fuelfraction,e_mat_EoL_ReMFG_clean,e_mat_Recycled_LQ,e_mat_Recycled_HQ
year,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg,%,kWh/kg,kWh/kg,kWh/kg
2023,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2024,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2025,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2026,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2027,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2028,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2029,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2030,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2031,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2032,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2033,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2034,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2035,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2036,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2037,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2038,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2039,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2040,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2041,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2042,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2043,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2044,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2045,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2046,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2047,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2048,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2049,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
2050,0.0062,3.5,86.79874429,1.4,1.6,0.009,78,0.61,1.4,1.6
