year,new_Installed_Capacity_[MW],mod_eff,mod_reliability_t50,mod_reliability_t90,mod_degradation,mod_lifetime,mod_MFG_eff,mod_EOL_collection_eff,mod_EOL_collected_recycled,mod_Repowering,mod_Repairing
year,MW,%,years,years,%,years,%,%,%,%,%
1995,67.599,12.5,15,20,0.5,10,95,15,40,0,0
1996,76.196,12.7,15,20,0.5,10,95,15,40,0,0
1997,110.704,12.88,15,20,0.5,15,95,15,40,0,0
1998,133.496,13.06,15,20,0.5,15,95,15,40,0,0
1999,179.335,13.24,15,20,0.5,15,95,15,40,0,0
2000,250.11,13.42,15,20,0.5,25,95,15,40,0,0
2001,259.01148,13.6,15,20,0.5,25,95,15,40,0,0
2002,324.80854,13.72222222,15,20,0.5,25,95,15,40,0,0
2003,502.1947,13.84444444,15,20,0.5,25,96,15,40,0,0
2004,1031.9945,13.96666667,15,20,0.5,25,96,15,40,0,0
2005,1404.35342,14.08888889,15,20,0.5,25,96,15,40,0,0
2006,1430.93427,14.21111111,15,20,0.5,25,96,15,40,0,0
2007,2145.01659,14.33333333,15,20,0.5,25,96,15,40,0,0
2008,5348.02696,14.45555556,15,20,0.5,25,96,15,40,0,0
2009,6724.9422,14.57777778,15,20,0.5,25,96,15,40,0,0
2010,15366.2608,14.7,15,20,0.5,25,97,15,40,0,0
2011,27309.0764,15.1,15,20,0.5,25,97,15,40,0,0
2012,26830.7039,15.4,15,20,0.5,25,97,15,40,0,0
2013,31154.396,16,15,20,0.5,25,97,15,40,0,0
2014,32968.844,16.3,15,20,0.5,25,97,15,40,0,0
2015,43006.786,17,15,20,0.5,25,97,15,40,0,0
2016,69313.908,17.5,16,21,0.5,25,97,15,40,0,0
2017,88815.456,17.7,16,21,0.5,25,97,15,40,0,0
2018,93492.576,18.4,17,22,0.5,25,97,15,40,0,0
2019,92690.645,19.2,17,22,0.5,25,97,15,40,0,0
2020,100940,20.25258849,18,23,0.5,35,97,15,40,0,0
2021,109924,20.8948648,18,23,0.5,35,97,15,40,0,0
2022,119707,21.36288232,18,23,0.5,35,97,15,40,0,0
2023,130361,21.73311205,19,24,0.5,35,97,15,40,0,0
2024,141963,22.0403697,19,24,0.5,35,97,15,40,0,0
2025,154598,22.30353889,20,25,0.5,35,97,15,40,0,0
2026,168357,22.53404502,20,25,0.5,35,97,15,40,0,0
2027,183341,22.73934244,21,26,0.5,35,97,15,40,0,0
2028,199658,22.92457161,21,26,0.5,35,97,15,40,0,0
2029,217428,23.09343124,22,27,0.5,35,97,15,40,0,0
2030,236779,23.24867384,22,27,0.5,35,97,15,40,0,0
2031,257852,23.39240459,22,27,0.5,35,97,15,40,0,0
2032,280801,23.52627057,25,30,0.5,35,98,15,40,0,0
2033,305792,23.6515853,25,30,0.5,35,98,15,40,0,0
2034,333008,23.76941358,25,30,0.5,35,98,15,40,0,0
2035,362645,23.88063087,25,30,0.5,35,98,15,40,0,0
2036,394921,23.98596588,25,30,0.5,35,98,15,40,0,0
2037,430069,24.08603183,25,30,0.5,35,98,15,40,0,0
2038,468345,24.18134974,25,30,0.5,35,98,15,40,0,0
2039,510027,24.27236612,30,35,0.5,35,98,15,40,0,0
2040,555420,24.35946665,30,35,0.5,35,98,15,40,0,0
2041,604852,24.44298673,30,35,0.5,35,98,15,40,0,0
2042,658684,24.52322,30,35,0.5,35,98,15,40,0,0
2043,717307,24.60042496,30,35,0.5,35,98,15,40,0,0
2044,781147,24.67483041,30,35,0.5,35,98,15,40,0,0
2045,850669,24.74663989,30,35,0.5,35,98,15,40,0,0
2046,926379,24.81603524,30,35,0.5,35,98,15,40,0,0
2047,1008827,24.88317962,30,35,0.5,35,98,15,40,0,0
2048,1098612,24.94822001,30,35,0.5,35,98,15,40,0,0
2049,1196389,25.01128927,30,35,0.5,35,98,15,40,0,0
2050,1302867,25.07250791,30,35,0.5,35,98,15,40,0,0
