year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
1995,76,5.376,90,100,98,100,100,0,95,0,0
1996,76,5.376,90,100,98,100,100,0,95,0,0
1997,76,5.376,90,100,98,100,100,0,95,0,0
1998,76,5.376,90,100,98,100,100,0,95,0,0
1999,76,5.376,90,100,98,100,100,0,95,0,0
2000,76,5.376,90,100,98,100,100,0,95,0,0
2001,76,5.376,90,100,98,100,100,0,95,0,0
2002,76,5.376,90,100,98,100,100,0,95,0,0
2003,76,5.376,90,100,98,100,100,0,95,0,0
2004,76,5.376,90,100,98,100,100,0,95,0,0
2005,76,5.376,90,100,98,100,100,0,95,0,0
2006,76,5.376,90,100,98,100,100,0,95,0,0
2007,76,5.376,90,100,98,100,100,0,95,0,0
2008,76,5.376,90,100,98,100,100,0,95,0,0
2009,76,5.376,90,100,98,100,100,0,95,0,0
2010,76,5.376,90,100,98,100,100,0,95,0,0
2011,76,5.376,90,100,98,100,100,0,95,0,0
2012,76,5.376,90,100,98,100,100,0,95,0,0
2013,76,5.376,90,100,98,100,100,0,95,0,0
2014,76,5.376,90,100,98,100,100,0,95,0,0
2015,76,5.78816,90,100,98,100,100,7,95,0,0
2016,76,6.20032,90,100,98,100,100,14,95,0,0
2017,76,7.20384,90,100,98,100,100,21.5,95,0,0
2018,76,7.45472,90,100,98,100,100,31,95,14,100
2019,76,8.26112,90,100,98,100,100,40,95,28,100
2020,76,8.22528,90,100,98,100,100,49,95,42,100
2021,76,8.27008,90,100,98,100,100,58,95,56,100
2022,76,8.31488,90,100,98,100,100,67,95,70,100
2023,76,8.38656,90,100,98,100,100,77,95,84,100
2024,76,8.45824,90,100,98,100,100,86,95,98,100
2025,76,8.195413333,90,100,98,100,100,95,95,100,100
2026,76,7.932586667,90,100,98,100,100,100,95,100,100
2027,76,7.66976,90,100,98,100,100,100,95,100,100
2028,76,7.394986667,90,100,98,100,100,100,95,100,100
2029,76,7.120213333,90,100,98,100,100,100,95,100,100
2030,76,6.84544,90,100,98,100,100,100,95,100,100
2031,76,6.84544,90,100,98,100,100,100,95,100,100
2032,76,6.84544,90,100,98,100,100,100,95,100,100
2033,76,6.84544,90,100,98,100,100,100,95,100,100
2034,76,6.84544,90,100,98,100,100,100,95,100,100
2035,76,6.84544,90,100,98,100,100,100,95,100,100
2036,76,6.84544,90,100,98,100,100,100,95,100,100
2037,76,6.84544,90,100,98,100,100,100,95,100,100
2038,76,6.84544,90,100,98,100,100,100,95,100,100
2039,76,6.84544,90,100,98,100,100,100,95,100,100
2040,76,6.84544,90,100,98,100,100,100,95,100,100
2041,76,6.84544,90,100,98,100,100,100,95,100,100
2042,76,6.84544,90,100,98,100,100,100,95,100,100
2043,76,6.84544,90,100,98,100,100,100,95,100,100
2044,76,6.84544,90,100,98,100,100,100,95,100,100
2045,76,6.84544,90,100,98,100,100,100,95,100,100
2046,76,6.84544,90,100,98,100,100,100,95,100,100
2047,76,6.84544,90,100,98,100,100,100,95,100,100
2048,76,6.84544,90,100,98,100,100,100,95,100,100
2049,76,6.84544,90,100,98,100,100,100,95,100,100
2050,76,6.84544,90,100,98,100,100,100,95,100,100
