year,e_mod_MFG,e_mod_Install,e_mod_OandM,e_mod_Repair,e_mod_Demount,e_mod_Demount_fuelfraction,e_mod_Resell_Certify,e_mod_Store,e_mod_ReMFG_Disassembly,e_mod_Recycle_Crush
year,kWh/m2,kWh/m2,kWh/m2,kWh/m2,kWh/m2,%,kWh/m2,kWh/m2,kWh/m2,kWh/m2
1995,8.6,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
1996,8.7,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
1997,8.8,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
1998,8.9,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
1999,9,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2000,9.1,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2001,9.2,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2002,9.3,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2003,9.4,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2004,9.5,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2005,6.664,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2006,6.176666667,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2007,5.689333333,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2008,5.202,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2009,4.714666667,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2010,4.227333333,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2011,3.74,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2012,3.698,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2013,3.656,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2014,3.614,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2015,3.572,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2016,3.53,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2017,3.488,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2018,3.446,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2019,3.404,0.0095,0,0,2.36,100,0.002,0,0.0011,0.67
2020,3.362,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2021,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2022,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2023,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2024,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2025,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2026,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2027,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2028,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2029,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2030,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2031,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2032,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2033,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2034,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2035,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2036,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2037,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2038,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2039,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2040,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2041,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2042,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2043,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2044,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2045,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2046,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2047,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2048,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2049,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
2050,3.32,0.0095,0,10.7,2.36,100,0.002,0,0.0011,0.67
