year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
1995,75,88,80,95,97,100,21.9,0,97,80,21.9
1996,75,84.57142857,80,95,97,100,21.9,0,97,80,21.9
1997,75,81.14285714,80,95,97,100,21.9,0,97,80,21.9
1998,75,77.71428571,80,95,97,100,21.9,0,97,80,21.9
1999,75,74.28571429,80,95,97,100,21.9,0,97,80,21.9
2000,75,45.34857143,80,95,97,100,21.9,0,97,80,21.9
2001,75,43.15428571,80,95,97,100,21.9,0,97,80,21.9
2002,75,40.96,80,95,97,100,21.9,0,97,80,21.9
2003,75,38.76571429,80,95,97,100,21.9,0,97,80,21.9
2004,75,36.57142857,80,95,97,100,21.9,0,97,80,21.9
2005,75,34.37714286,80,95,97,100,21.9,0,97,80,21.9
2006,75,32.18285714,80,95,97,100,21.9,0,97,80,21.9
2007,75,29.98857143,80,95,97,100,21.9,0,97,80,21.9
2008,75,27.79428571,80,95,97,100,21.9,0,97,80,21.9
2009,75,25.6,80,95,97,100,21.9,0,97,80,21.9
2010,75,12.32741617,80,95,97,100,21.1,0,97,80,21.1
2011,75,10.27284681,80,95,97,100,23.07,0,97,80,23.07
2012,75,8.218277449,80,95,97,100,21.34,0,97,80,21.34
2013,75,5.752794214,80,95,97,100,18.62,0,97,80,18.62
2014,75,5.341880342,80,95,97,100,16.43,0,97,80,16.43
2015,75,4.520052597,80,95,97,100,15.67,0,97,80,15.67
2016,75,4.099757009,80,95,97,100,15.54,0,97,80,15.54
2017,75,4.079110301,80,95,97,100,16.25,0,97,80,16.25
2018,75,4.312833823,80,95,97,100,16.49,0,97,80,16.49
2019,75,4.14730981,80,95,97,100,16.61,0,97,80,16.61
2020,75,3.594965445,80,95,97,100,16.61,0,97,80,16.61
2021,75,3.341278869,80,95,97,100,16.61,0,97,80,16.61
2022,75,3.093634022,80,95,97,100,16.61,0,97,80,16.61
2023,75,2.898863882,80,95,97,100,16.61,0,97,80,16.61
2024,75,2.692895407,80,95,97,100,16.61,0,97,80,16.61
2025,75,2.542951049,80,95,97,100,16.61,0,97,80,16.61
2026,75,2.401262207,80,95,97,100,16.61,0,97,80,16.61
2027,75,2.266884489,80,95,97,100,16.61,0,97,80,16.61
2028,75,2.129634828,80,95,97,100,16.61,0,97,80,16.61
2029,75,1.992776413,80,95,97,100,16.61,0,97,80,16.61
2030,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2031,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2032,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2033,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2034,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2035,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2036,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2037,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2038,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2039,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2040,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2041,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2042,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2043,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2044,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2045,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2046,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2047,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2048,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2049,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
2050,75,1.856311209,80,95,97,100,16.61,0,97,80,16.61
