year,ErefineSiemens kWh/kg,PrctFuel,Source,Notes,ErefineFBR kWh/kg,PrctFuel,Source,Notes
1990,215,?,"G. J. M. Phylipsen and E. A. Alsema, “Environmental life-cycle assessment of multicrystalline silicon solar cell modules,” Netherlands Agency for Energy and the Environment,NOVEM, Netherlands, Sep. 1995.","estimated thermal values from Hagedorn 1989, GER values",108,?,"G. J. M. Phylipsen and E. A. Alsema, “Environmental life-cycle assessment of multicrystalline silicon solar cell modules,” Netherlands Agency for Energy and the Environment,NOVEM, Netherlands, Sep. 1995.","electronics grade silicon, process and thermal energy, 500C and 3.5 Mpa"
1991,,,,,,,,
1992,,,,,,,,
1993,,,,,,,,
1994,,,,,,,,
1995,129,?,"R. Dones and R. Frischknecht, “Life-cycle assessment of photovoltaic systems: results of Swiss studies on energy chains,” Prog. Photovolt: Res. Appl., vol. 6, no. 2, pp. 117–125, Mar. 1998, doi: 10.1002/(SICI)1099-159X(199803/04)6:2<117::AID-PIP209>3.0.CO;2-M.","electronic grade Si, may include Cz process?",,,,
1996,305,0,"E. D. Williams, R. U. Ayres, and M. Heller, “The 1.7 Kilogram Microchip: Energy and Material Use in the Production of Semiconductor Devices,” Environ. Sci. Technol., vol. 36, no. 24, pp. 5504–5510, Dec. 2002, doi: 10.1021/es025643o.",Si to TriClSi*yields + TriClSi to poly so it is per kg of siemens process exit,,,,
1997,120,,"K. Kato, A. Murata, and K. Sakuta, “Energy pay-back time and life-cycle CO2 emission of residential PV power system with silicon PV module,” Prog. Photovolt: Res. Appl., vol. 6, no. 2, pp. 105–115, Mar. 1998, doi: 10.1002/(SICI)1099-159X(199803/04)6:2<105::AID-PIP212>3.0.CO;2-C.",,,,,
1998,100,,"B. S. Xakalashe and M. Tangstad, “Silicon processing: from quartz to crystalline silicon solar cells,” in Southern African Pyrometallurgy, Mar. 2011, p. 18.",from reference 15 dated 1998,,,,
1999,,,,,,,,
2000,110,,"E. Bracquene, J. R. Peeters, W. Dewulf, and J. R. Duflou, “Taking Evolution into Account in a Parametric LCA Model for PV Panels,” Procedia CIRP, vol. 69, pp. 389–394, Jan. 2018, doi: 10.1016/j.procir.2017.11.103.",projected linear decrease to 55 kWh/kg in 2009,,,,
2001,,,,,,,,
2002,,,,,,,,
2003,,,,,,,,
2004,148,23,"N. Jungbluth, “Life cycle assessment of crystalline photovoltaics in the Swiss ecoinvent database,” Progress in Photovoltaics: Research and Applications, vol. 13, no. 5, pp. 429–446, 2005, doi: 10.1002/pip.614.",,,,,
2005,161,32,"M. de Wild-Scholten and E. A. Alsema, “Environmental Life Cycle Inventory of Crystalline Silicon Photovoltaic Module Production,” MRS Proceedings, vol. 895, Dec. 2005, doi: 10.1557/PROC-0895-G03-04.",,,,,
2006,161,32,"E. Alsema and M. de Wild-Scholten, “Reduction of Environmental Impacts in Crystalline Silicon Photovoltaic Technology: An Analysis of Driving Forces and Opportunities,” MRS Proc., vol. 1041, pp. 1041-R01-01, 2007, doi: 10.1557/PROC-1041-R01-01.",,81,63,"E. Alsema and M. de Wild-Scholten, “Reduction of Environmental Impacts in Crystalline Silicon Photovoltaic Technology: An Analysis of Driving Forces and Opportunities,” MRS Proc., vol. 1041, pp. 1041-R01-01, 2007, doi: 10.1557/PROC-1041-R01-01.",
2007,,,,,,,,
2008,120,,"A. F. B. Braga, S. P. Moreira, P. R. Zampieri, J. M. G. Bacchin, and P. R. Mei, “New processes for the production of solar-grade polycrystalline silicon: A review,” Solar Energy Materials and Solar Cells, vol. 92, no. 4, pp. 418–424, Apr. 2008, doi: 10.1016/j.solmat.2007.10.003.",is showing off new processes wants to make seimens look bad,,,,
2009,,,,,,,,
2010,,,,,,,,
2011,,,,,,,,
2012,,,,,,,,
2013,,,,,,,,
2014,65,,"R. Fu, T. L. James, and M. Woodhouse, “Economic Measurements of Polysilicon for the Photovoltaic Industry: Market Competition and Manufacturing Competitiveness,” IEEE Journal of Photovoltaics, vol. 5, no. 2, pp. 515–524, Mar. 2015, doi: 10.1109/JPHOTOV.2014.2388076.",,,,,
2015,,,,,,,,
2016,,,,,,,,
2017,,,,,,,,
2018,,,,,,,,
2019,,,,,,,,
2020,,,,,,,,
2021,,,,,,,,
2022,,,,,,,,
2023,,,,,,,,
2024,,,,,,,,
2025,,,,,,,,
2026,,,,,,,,
2027,,,,,,,,
2028,,,,,,,,
2029,,,,,,,,
2030,,,,,,,,
2031,,,,,,,,
2032,,,,,,,,
2033,,,,,,,,
2034,,,,,,,,
2035,,,,,,,,
2036,,,,,,,,
2037,,,,,,,,
2038,,,,,,,,
2039,,,,,,,,
2040,,,,,,,,
2041,,,,,,,,
2042,,,,,,,,
2043,,,,,,,,
2044,,,,,,,,
2045,,,,,,,,
2046,,,,,,,,
2047,,,,,,,,
2048,,,,,,,,
2049,,,,,,,,
2050,,,,,,,,
