year,mat_virgin_eff,mat_massperm2,mat_MFG_eff,mat_MFG_scrap_Recycled,mat_MFG_scrap_Recycling_eff,mat_MFG_scrap_Recycled_into_HQ,mat_MFG_scrap_Recycled_into_HQ_Reused4MFG,mat_EOL_collected_Recycled,mat_EOL_Recycling_eff,mat_EOL_Recycled_into_HQ,mat_EOL_RecycledHQ_Reused4MFG
year,%,g,%,%,%,%,%,%,%,%,%
2009,100,1000,100,0,0,0,0,0,0,0,0
2010,100,1000,100,0,0,0,0,0,0,0,0
2011,100,1000,100,0,0,0,0,0,0,0,0
2012,100,1000,100,0,0,0,0,0,0,0,0
2013,100,1000,100,0,0,0,0,0,0,0,0
2014,100,1000,100,0,0,0,0,0,0,0,0
2015,100,1000,100,0,0,0,0,0,0,0,0
2016,100,1000,100,0,0,0,0,0,0,0,0
2017,100,1000,100,0,0,0,0,0,0,0,0
2018,100,1000,100,0,0,0,0,0,0,0,0
2019,100,1000,100,0,0,0,0,0,0,0,0
2020,100,1000,100,0,0,0,0,0,0,0,0
2021,100,1000,100,0,0,0,0,0,0,0,0
2022,100,1000,100,0,0,0,0,0,0,0,0
2023,100,1000,100,0,0,0,0,0,0,0,0
2024,100,1000,100,0,0,0,0,0,0,0,0
2025,100,1000,100,0,0,0,0,0,0,0,0
2026,100,1000,100,0,0,0,0,0,0,0,0
2027,100,1000,100,0,0,0,0,0,0,0,0
2028,100,1000,100,0,0,0,0,0,0,0,0
2029,100,1000,100,0,0,0,0,0,0,0,0
2030,100,1000,100,0,0,0,0,0,0,0,0
2031,100,1000,100,0,0,0,0,0,0,0,0
2032,100,1000,100,0,0,0,0,0,0,0,0
2033,100,1000,100,0,0,0,0,0,0,0,0
2034,100,1000,100,0,0,0,0,0,0,0,0
2035,100,1000,100,0,0,0,0,0,0,0,0
2036,100,1000,100,0,0,0,0,0,0,0,0
2037,100,1000,100,0,0,0,0,0,0,0,0
2038,100,1000,100,0,0,0,0,0,0,0,0
2039,100,1000,100,0,0,0,0,0,0,0,0
2040,100,1000,100,0,0,0,0,0,0,0,0
2041,100,1000,100,0,0,0,0,0,0,0,0
2042,100,1000,100,0,0,0,0,0,0,0,0
2043,100,1000,100,0,0,0,0,0,0,0,0
2044,100,1000,100,0,0,0,0,0,0,0,0
2045,100,1000,100,0,0,0,0,0,0,0,0
2046,100,1000,100,0,0,0,0,0,0,0,0
2047,100,1000,100,0,0,0,0,0,0,0,0
2048,100,1000,100,0,0,0,0,0,0,0,0
2049,100,1000,100,0,0,0,0,0,0,0,0
2050,100,1000,100,0,0,0,0,0,0,0,0
